unicode,emoji,name,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1F449,👉,backhand index pointing right,0.06,0.25,0,0,0,0,0.03,0.17
1F44A,👊,oncoming fist,0.44,0.36,0.14,0.11,0.22,0,0,0.61
1F44B,👋,waving hand,0.08,0.28,0.06,0,0.22,0,0.08,0.22
1F44C,👌,OK hand,0,0.36,0,0,0.22,0,0.22,0.56
1F44D,👍,thumbs up,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47
1F44E,👎,thumbs down,0.5,0.08,0.67,0.14,0,0.31,0.14,0.06
1F44F,👏,clapping hands,0.08,0.39,0.08,0,0.64,0,0.25,0.53
1F451,👑,crown,0,0.25,0,0,0.28,0,0.11,0.25
1F47B,👻,ghost,0.11,0.08,0.08,0.69,0,0.11,0.31,0.08
1F480,💀,skull,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11
1F481,💁,person tipping hand,0.08,0.33,0.08,0.06,0.14,0.06,0.17,0.25
1F483,💃,woman dancing,0,0.11,0,0,0.69,0,0.17,0.19
1F48B,💋,kiss mark,0,0.28,0,0,0.78,0,0.19,0.69
1F48E,💎,gem stone,0,0.31,0,0.06,0.33,0,0.25,0.5
1F490,💐,bouquet,0,0.39,0,0,0.69,0.11,0.36,0.58
1F493,💓,beating heart,0,0.47,0,0.08,0.61,0,0.19,0.67
1F494,💔,broken heart,0.39,0.19,0.33,0.14,0,0.94,0.08,0.17
1F495,💕,two hearts,0,0.31,0,0,0.83,0,0.11,0.75
1F496,💖,sparkling heart,0,0.33,0,0,0.89,0,0.25,0.53
1F497,💗,growing heart,0,0.36,0,0,0.89,0,0.22,0.5
1F498,💘,heart with arrow,0.03,0.31,0.06,0.06,0.67,0.14,0.06,0.64
1F499,💙,blue heart,0,0.25,0,0,0.61,0.17,0.17,0.28
1F49A,💚,green heart,0,0.11,0,0,0.58,0.03,0.03,0.33
1F49B,💛,yellow heart,0.03,0.11,0.06,0,0.53,0.08,0.08,0.36
1F49C,💜,purple heart,0,0.11,0.06,0.06,0.47,0.11,0.08,0.31
1F49E,💞,revolving hearts,0,0.25,0,0,0.83,0,0.22,0.61
1F4A4,💤,zzz,0.06,0.36,0.19,0.06,0.11,0.14,0.06,0.22
1F4A5,💥,collision,0.44,0.19,0.19,0.31,0.11,0.14,0.31,0.08
1F4A6,💦,sweat droplets,0,0.11,0.11,0.06,0,0.14,0,0
1F4A9,💩,pile of poo,0.14,0.08,0.64,0,0.25,0.03,0.19,0.11
1F4AA,💪,flexed biceps,0.03,0.31,0,0,0.42,0,0.08,0.31
1F4AB,💫,dizzy,0,0.19,0,0.06,0.44,0,0.19,0.11
1F4AD,💭,thought balloon,0.11,0.64,0.11,0.11,0.17,0.11,0.17,0.22
1F4AF,💯,hundred points,0.06,0.28,0.06,0.06,0.64,0.06,0.19,0.53
1F4B0,💰,money bag,0,0.58,0,0.06,0.47,0.06,0.25,0.36
1F4F7,📷,camera,0,0.19,0.03,0,0.14,0,0.08,0.08
1F51E,🔞,no one under eighteen,0.11,0.11,0.08,0.03,0.08,0.11,0,0.19
1F525,🔥,fire,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14
1F52B,🔫,pistol,0.44,0.14,0.17,0.14,0.03,0.14,0,0.11
1F534,🔴,red circle,0.08,0.06,0,0.11,0,0.03,0.19,0
1F600,😀,grinning face,0.06,0.22,0.06,0.06,0.69,0.06,0.14,0.25
1F601,😁,beaming face with smiling eyes,0.06,0.25,0,0.08,0.89,0.06,0.33,0.36
1F602,😂,face with tears of joy,0,0.17,0.06,0.06,0.94,0,0.33,0.22
1F603,😃,grinning face with big eyes,0,0.31,0,0.06,0.83,0,0.33,0.36
1F604,😄,grinning face with smiling eyes,0,0.36,0,0,0.86,0,0.28,0.28
1F605,😅,grinning face with sweat,0.08,0.44,0.06,0.28,0.42,0.06,0.36,0.17
1F606,😆,grinning squinting face,0.06,0.19,0.06,0.06,0.94,0.06,0.25,0.31
1F607,😇,smiling face with halo,0,0.31,0,0,0.72,0,0.17,0.5
1F608,😈,smiling face with horns,0.14,0.44,0.06,0.19,0.33,0.08,0.03,0
1F609,😉,winking face,0,0.42,0,0,0.44,0.08,0.28,0.47
1F60A,😊,smiling face with smiling eyes,0,0.42,0,0,0.92,0,0.33,0.47
1F60B,😋,face savoring food,0,0.47,0,0,0.78,0,0.19,0.11
1F60C,😌,relieved face,0,0.33,0,0.11,0.81,0,0.22,0.61
1F60D,😍,smiling face with heart-eyes,0,0.31,0,0,0.83,0,0.5,0.5
1F60E,😎,smiling face with sunglasses,0,0.22,0,0,0.75,0,0.06,0.33
1F60F,😏,smirking face,0.22,0.33,0.28,0.14,0.22,0.22,0.11,0.22
1F610,😐,neutral face,0.14,0.33,0.31,0.17,0.06,0.25,0.31,0.08
1F611,😑,expressionless face,0.28,0.22,0.47,0.14,0,0.33,0.19,0.17
1F612,😒,unamused face,0.58,0.14,0.64,0.17,0,0.42,0.11,0
1F613,😓,downcast face with sweat,0.19,0.44,0.31,0.64,0,0.36,0.17,0.11
1F614,😔,pensive face,0.25,0.22,0.31,0.28,0,0.72,0.19,0.14
1F615,😕,confused face,0.19,0.42,0.36,0.36,0,0.39,0.28,0.17
1F616,😖,confounded face,0.22,0.36,0.67,0.5,0.08,0.53,0.11,0.11
1F618,😘,face blowing a kiss,0,0.33,0,0,0.72,0,0.17,0.61
1F619,😙,kissing face with smiling eyes,0,0.47,0,0,0.83,0,0.17,0.83
1F61A,😚,kissing face with closed eyes,0,0.44,0,0,0.86,0,0.22,0.67
1F61B,😛,face with tongue,0,0.31,0,0.03,0.69,0,0.28,0.19
1F61C,😜,winking face with tongue,0,0.42,0,0.06,0.64,0,0.28,0.11
1F61D,😝,squinting face with tongue,0,0.22,0.06,0.08,0.83,0,0.22,0.14
1F61E,😞,disappointed face,0.39,0.19,0.5,0.33,0,0.92,0.06,0.08
1F61F,😟,worried face,0.25,0.44,0.44,0.72,0,0.69,0.17,0.08
1F620,😠,angry face,1,0.17,0.56,0.17,0,0.25,0.11,0.08
1F621,😡,pouting face,1,0.11,0.56,0.11,0,0.36,0.08,0.06
1F622,😢,crying face,0.25,0.08,0.36,0.5,0,1,0.08,0.11
1F623,😣,persevering face,0.31,0.28,0.67,0.47,0,0.64,0,0.08
1F624,😤,face with steam from nose,0.75,0.11,0.64,0.14,0,0.25,0.03,0
1F625,😥,sad but relieved face,0.14,0.19,0.25,0.33,0.03,0.81,0.08,0.06
1F628,😨,fearful face,0.17,0.39,0.33,0.97,0,0.56,0.39,0.14
1F629,😩,weary face,0.33,0.25,0.5,0.47,0,0.75,0.14,0.08
1F62A,😪,sleepy face,0.11,0.08,0.44,0.28,0,0.64,0.06,0
1F62B,😫,tired face,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06
1F62C,😬,grimacing face,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11
1F62D,😭,loudly crying face,0.22,0.08,0.36,0.33,0,1,0.08,0.08
1F630,😰,anxious face with sweat,0.22,0.31,0.39,0.83,0,0.69,0.08,0.06
1F631,😱,face screaming in fear,0.28,0.42,0.42,0.92,0.06,0.25,0.69,0.11
1F633,😳,flushed face,0.06,0.36,0.33,0.5,0.14,0.19,0.44,0.08
1F634,😴,sleeping face,0,0.06,0.14,0,0.03,0.03,0,0.03
1F636,😶,face without mouth,0.06,0.22,0.33,0.36,0,0.14,0.19,0.03
1F637,😷,face with medical mask,0.03,0.17,0.53,0.5,0,0.22,0.03,0.11
1F639,😹,cat with tears of joy,0,0.17,0,0,0.94,0,0.14,0.28
1F63B,😻,smiling cat with heart-eyes,0,0.42,0,0,0.75,0.06,0.33,0.42
1F645,🙅,person gesturing NO,0.47,0.25,0.53,0.33,0.06,0.33,0.11,0.19
1F646,🙆,person gesturing OK,0.03,0.33,0,0,0.39,0,0.03,0.61
1F648,🙈,see-no-evil monkey,0,0.39,0.17,0.17,0.28,0.03,0.5,0.22
1F64A,🙊,speak-no-evil monkey,0.06,0.44,0.19,0.47,0.14,0.08,0.42,0.28
1F64B,🙋,person raising hand,0,0.53,0,0,0.44,0,0.19,0.25
1F64C,🙌,raising hands,0,0.33,0,0,0.72,0,0.39,0.47
1F64F,🙏,folded hands,0.06,0.44,0,0.11,0.25,0.11,0.17,0.58
203C,‼,double exclamation mark,0.44,0.42,0.11,0.06,0.14,0,0.89,0.03
21A9,↩,right arrow curving left,0,0.06,0,0,0,0,0,0.08
21AA,↪,left arrow curving right,0.06,0.19,0,0,0,0,0,0.11
25B6,▶,play button,0,0.08,0,0,0.03,0,0,0
25C0,◀,reverse button,0,0.06,0,0,0,0,0.06,0.11
2600,☀,sun,0,0.22,0,0,0.44,0,0.06,0.14
2611,☑,check box with check,0,0.22,0,0,0.25,0,0,0.47
261D,☝,index pointing up,0.11,0.31,0.11,0.11,0.03,0.11,0,0.17
263A,☺,smiling face,0,0.42,0,0,1,0,0.39,0.5
2665,♥,heart suit,0,0.28,0,0,0.72,0,0.11,0.56
267B,♻,recycling symbol,0.03,0.19,0.03,0,0.03,0.03,0,0.28
26A1,⚡,high voltage,0.28,0.31,0.06,0.25,0.08,0,0.36,0.14
26BD,⚽,soccer ball,0,0.33,0,0.06,0.25,0,0,0.06
2705,✅,check mark button,0,0.31,0,0,0.19,0,0,0.33
2708,✈,airplane,0,0.44,0,0.11,0.28,0.11,0.19,0.28
270A,✊,raised fist,0.25,0.5,0.17,0.11,0.03,0.11,0.08,0.36
270B,✋,raised hand,0.22,0.25,0.19,0.11,0.06,0.06,0.08,0.28
270C,✌,victory hand,0,0.42,0,0,0.61,0,0.17,0.47
2714,✔,check mark,0,0.25,0,0,0.14,0,0,0.36
2728,✨,sparkles,0,0.36,0,0.06,0.53,0,0.44,0.31
2744,❄,snowflake,0.11,0.33,0.14,0.17,0.28,0.14,0.22,0.17
274C,❌,cross mark,0.5,0.14,0.58,0.25,0,0.31,0.08,0.06
2757,❗,exclamation mark,0.44,0.42,0.31,0.42,0.08,0.17,0.81,0.11
2764,❤,red heart,0,0.36,0,0,0.69,0,0.14,0.67
27A1,➡,right arrow,0,0.06,0,0,0,0,0,0.22
2B05,⬅,left arrow,0.17,0.14,0.17,0.14,0,0.14,0.03,0.06
2B50,⭐,star,0,0.17,0,0,0.39,0,0.17,0.22
